Airport,DelayTime
Airport05,10
Airport05,8
Airport05,3
Airport04,12.5
Airport20,10
Airport10,30
Airport06,9.5
Airport10,45
Airport05,25
Airport05,9
Airport08,7
Airport05,11.5
Airport15,10
Airport05,25
Airport20,8
Airport10,5
Airport11,35
Airport05,10
Airport05,55
Airport08,5.5
Airport05,9
Airport10,5
Airport11,10
Airport06,10
Airport06,7
Airport08,6
Airport05,12
Airport08,7
Airport17,10
Airport07,4
Airport05,5
Airport08,5
Airport15,40
Airport08,9
Airport03,10
Airport13,15
Airport08,44
Airport05,7
Airport08,30
Airport08,25
Airport19,11
Airport17,18
Airport08,20
Airport15,23
Airport05,2
Airport07,7.5
Airport17,9
Airport15,14
Airport05,14
Airport05,28
Airport17,11
Airport08,13
Airport08,61
Airport03,45
Airport06,1
Airport08,9
Airport06,12
Airport10,4
Airport06,3
Airport08,40
Airport05,6
Airport10,2
Airport06,10
Airport05,77
Airport05,15
Airport05,72
Airport05,14
Airport04,5.5
Airport17,10
Airport03,9
Airport08,5
Airport20,100
Airport18,10
Airport18,25
Airport05,6
Airport08,10
Airport18,20
Airport20,25
Airport08,124
Airport10,3.5
Airport08,59.5
Airport08,5
Airport11,5
Airport15,23
Airport18,15
Airport05,8
Airport05,3
Airport05,7.333333333
Airport05,18
Airport20,10
Airport17,5
Airport07,5
Airport05,3.5
Airport05,5
Airport18,20
Airport05,4
Airport08,6
Airport07,5
Airport19,9
Airport10,5
Airport05,30
Airport05,19
Airport08,4
Airport15,60
Airport17,5
Airport05,10
Airport06,19
Airport06,9
Airport11,70
Airport17,5
Airport10,145
Airport08,4
Airport11,95
Airport08,5
Airport19,70
Airport05,15
Airport10,7
Airport18,7.5
Airport05,10
Airport17,7
Airport06,11
Airport10,2
Airport08,163
Airport08,15
Airport05,6.5
Airport08,47.5
Airport05,10
Airport06,22.5
Airport05,8
Airport06,4
Airport09,10
Airport11,60
Airport08,108
Airport05,2.5
Airport09,12
Airport03,20
Airport15,30
Airport05,18
Airport06,13
Airport14,48
Airport18,70
Airport05,10
Airport05,6
Airport03,50
Airport18,19
Airport05,10
Airport03,21
Airport05,15
Airport17,25
Airport10,2
Airport15,14
Airport05,67.5
Airport18,65
Airport06,374
Airport05,30
Airport05,17.5
Airport05,20
Airport17,10
Airport08,6
Airport18,35
Airport08,15
Airport01,690
Airport05,20
Airport17,5
Airport08,7
Airport18,23
Airport05,4
Airport05,7
Airport04,8.5
Airport17,2
Airport11,15
Airport15,83
Airport05,5
Airport04,6
Airport07,16
Airport05,2
Airport12,4
Airport14,10
Airport18,74
Airport05,80
Airport14,4
Airport11,65
Airport05,4
Airport17,35
Airport10,15
Airport10,20
Airport10,2
Airport08,8.5
Airport05,16
Airport08,24
Airport08,2
Airport06,11
Airport20,10
Airport05,17
Airport03,3
Airport17,22
Airport08,4
Airport17,40
Airport10,22
Airport05,40
Airport05,52
Airport05,60
Airport10,4
Airport05,130
Airport05,35
Airport14,18
Airport08,14
Airport05,15
Airport05,18
Airport08,283
Airport05,100
Airport05,12
Airport11,10
Airport03,10
Airport08,33
Airport05,9
Airport17,60
Airport05,5
Airport17,10
Airport08,4
Airport08,11
Airport08,7.5
Airport05,16
Airport10,5
Airport05,3
Airport11,67.5
Airport05,45
Airport05,4
Airport05,8
Airport07,10
Airport05,16
Airport05,25
Airport05,33
Airport12,5.5
Airport14,10
Airport09,40
Airport14,19
Airport04,3
Airport05,15
Airport05,30
Airport05,30
Airport08,109
Airport04,7
Airport08,5
Airport08,6
Airport05,5
Airport18,15
Airport08,4
Airport18,5
Airport17,6
Airport17,1
Airport20,7.5
Airport08,10
Airport04,17
Airport08,6
Airport17,4
Airport05,7
Airport17,102.5
Airport05,25
Airport17,2
Airport04,10.5
Airport17,18
Airport08,4
Airport16,3.5
Airport03,29
Airport15,19
Airport11,15
Airport09,5
Airport06,14
Airport05,5
Airport04,6.5
Airport05,15
Airport05,7
Airport05,13
Airport05,37
Airport05,22
Airport05,108
Airport17,10
Airport05,25
Airport05,25
Airport05,20
Airport06,17
Airport17,5
Airport08,4.5
Airport12,6.5
Airport14,15
Airport19,8
Airport10,59.33333333
Airport08,3
Airport05,208
Airport05,165
Airport05,170
Airport08,20
Airport08,70
Airport05,20
Airport05,30
Airport17,5
Airport06,6
